,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
1.4000000000000001,4.395535714285715,4.359421296296297,4.241736111111111,6.076329365079366,7.290625,6.255902777777778,5.797569444444445,5.005902777777778,4.684635416666667,4.04375,3.883333333333333,3.2242424242424246,3.2393939393939393,3.339393939393939,2.392171717171717,1.0393939393939393,0.8512626262626262,0.9333333333333333,0.9333333333333333,0.9333333333333333
1.5000000000000002,5.340327380952381,4.410277777777778,4.545634920634921,6.371137152777778,7.210664682539682,6.568402777777778,6.243998015873016,5.540625,4.199702380952381,4.102083333333334,3.883333333333333,3.2280303030303035,3.2393939393939393,3.339393939393939,2.4727272727272727,1.465151515151515,0.9484848484848485,0.9333333333333333,0.9333333333333333,0.9333333333333333
1.6,5.788194444444445,4.498090277777777,4.7457465277777775,6.774236111111112,7.514831349206349,6.7319072420634924,6.612500000000001,5.634027777777778,4.727529761904761,4.138888888888888,3.9499999999999993,3.2949494949494946,3.35050505050505,3.4810606060606055,2.4393939393939394,1.3227272727272728,1.0118811352966284,0.9784037558685446,0.9699530516431925,0.9615023474178404
1.7000000000000002,6.198735119047619,5.113912037037037,5.887152777777779,8.524764384920633,8.300694444444444,7.813888888888889,6.850192212301587,4.382204861111111,5.189056712962963,4.404166666666667,4.194444444444444,3.718034511784512,3.2393939393939393,3.449949494949495,2.9933621933621932,1.6505050505050503,1.0843835741723065,1.0037558685446009,1.0037558685446009,1.0037558685446009
1.8000000000000003,6.204671717171717,5.784194624819626,5.863521825396825,8.744305555555556,9.09563492063492,8.198015873015875,7.011111111111112,5.593672839506173,4.664959490740741,4.354861111111111,4.188888888888888,3.789267676767677,3.7949494949494946,3.784949494949495,2.6912457912457914,1.5142244036610233,1.1571001768184868,1.0319248826291079,1.0803403755868544,1.1030076291079811
1.9000000000000001,6.962797619047619,6.454067460317459,7.274652777777779,9.543216765873016,9.258333333333333,8.719444444444445,7.293650793650794,5.705555555555556,4.9413318452380945,4.2250000000000005,4.438888888888888,3.8116161616161612,3.807449494949495,4.076430976430976,2.583838383838384,1.1692843932280552,1.0719270166453265,1.0319248826291079,1.1589369550637154,1.1604460093896714
2.0,7.562731481481482,6.713194444444444,7.50451388888889,9.525868055555557,9.648015873015872,8.927777777777779,7.280357142857143,5.802777777777778,4.891121031746032,4.536507936507936,4.433333333333333,3.978282828282828,3.8349494949494947,3.8964309764309766,2.7949494949494946,1.3545347844643618,1.2444576550210353,1.10093896713615,1.1921361502347416,1.219299128101945
2.1,7.809375,7.369631583694082,7.126264880952381,9.369543650793652,9.347222222222223,9.031944444444445,7.358333333333334,5.779047619047619,5.536520337301588,4.442361111111111,4.508333333333333,4.133838383838383,3.8199494949494945,4.211616161616162,2.82987012987013,1.446181889315692,1.2679318334247913,1.116431924882629,1.241431924882629,1.4820422535211266
2.2,8.512152777777779,8.310069444444444,8.92013888888889,10.505426587301587,10.694444444444443,9.685317460317462,7.539484126984127,5.527314814814816,5.478455687830689,4.539206349206348,4.5774170274170265,3.899116161616161,3.9432828282828276,3.4838383838383837,3.019023569023569,1.3635388086092313,1.2924775928297056,1.1759976525821596,1.2816733735747818,2.2766431924882626
2.3000000000000003,10.117013888888888,8.787413194444444,9.078211805555554,11.27861111111111,10.74861111111111,9.11972222222222,7.486111111111112,5.95,5.584751984126984,5.090079365079364,4.838888888888888,4.228282828282828,4.2199494949494945,4.444949494949495,2.796801346801347,1.0605206999573196,1.358557405036278,1.2523096914822265,1.6698356807511736,2.3400234741784036
