Name,Disc.Y,Disc.M,Disc.D,r_Disc.D,RAh,RAm,RAs,DE-,DEd,DEm,DEs,f_DEs,Obs,tFirst,tLast,tNext,z,r_z,Dist,e_Dist,r_Dist,VExt
PS1-10acx,2010,08,16,2014ApJ...795...44R,16,05,54.089,+,55,11,52.3,,63,-2231,298,249,0.35,2014ApJ...795...44R,1499,105,2014ApJ...795...44R,0.019
PS1-10bls,2010,11,07,2014ApJ...795...44R,03,32,16.116,-,27,11,39.51,,93,-2554,31,14,0.276,2014ApJ...795...44R,1180,83,2014ApJ...795...44R,0.02
PS1-10byr,2010,12,06,2014ApJ...795...44R,22,17,50.801,+,01,02,33.8,,127,-2653,310,310,0.24,2014ApJ...795...44R,1023,84,2014ApJ...795...44R,0.18899999999999997
PS1-10f,2010,01,12,2014ApJ...795...44R,09,59,54.221,+,02,24,42.84,,240,-2162,421,24,0.38,2014ApJ...795...44R,1632,122,2014ApJ...795...44R,0.049
PS1-10ia,2010,03,20,2014ApJ...795...44R,14,11,31.058,+,53,34,46.48,,18,-319,359,2,0.409,2014ApJ...795...44R,1753,123,2014ApJ...795...44R,0.035
PS1-10if,2010,03,20,2014ApJ...795...44R,10,00,21.196,+,01,25,05.25,,45,-2225,333,2,0.15,2014ApJ...795...44R,647,46,2014ApJ...795...44R,0.055999999999999994
PS1-10io,2010,04,12,2014ApJ...795...44R,10,00,44.015,+,03,24,14.31,,43,-1528,310,294,0.22,2014ApJ...795...44R,947,67,2014ApJ...795...44R,0.067
PS1-10j,2010,01,16,2014ApJ...795...44R,10,49,14.22,+,58,28,02.04,,51,-2184,416,5,0.436,2014ApJ...795...44R,1869,131,2014ApJ...795...44R,0.021
PS1-10k,2010,01,16,2014ApJ...795...44R,10,00,27.616,+,02,41,38.52,,199,-2166,396,19,0.34,2014ApJ...795...44R,1461,102,2014ApJ...795...44R,0.053
PS1-10n,2010,01,16,2014ApJ...795...44R,10,03,14.385,+,03,08,39.21,,42,-1418,739,19,0.46,2014ApJ...795...44R,1975,138,2014ApJ...795...44R,0.053
PS1-10o,2010,01,18,2014ApJ...795...44R,10,02,08.822,+,02,43,06.83,,100,-2168,394,17,0.22,2014ApJ...795...44R,947,67,2014ApJ...795...44R,0.055
PS1-10s,2010,01,16,2014ApJ...795...44R,09,55,57.231,+,02,15,48.47,,36,-732,738,20,0.101,2014ApJ...795...44R,438,31,2014ApJ...795...44R,0.06
PS1-11aj,2011,01,06,2014ApJ...795...44R,10,03,16.274,+,03,28,29.81,,35,-1773,41,25,0.106,2014ApJ...795...44R,459,33,2014ApJ...795...44R,0.055999999999999994
PS1-11at,2011,01,05,2014ApJ...795...44R,10,01,53.027,+,02,02,33.53,,176,-2520,75,27,0.32,2014ApJ...795...44R,1375,96,2014ApJ...795...44R,0.048
PS1-11bk,2011,01,11,2014ApJ...795...44R,09,56,19.761,+,01,24,34.08,,38,-2129,36,21,0.16,2014ApJ...795...44R,690,49,2014ApJ...795...44R,0.063
PS1-11fi,2011,02,05,2014ApJ...795...44R,14,12,57.07,+,52,44,37.19,,20,-641,37,36,0.082,2014ApJ...795...44R,353,25,2014ApJ...795...44R,0.028999999999999998
PS1-11kk,2011,02,10,2014ApJ...795...44R,16,10,49.277,+,55,15,05.31,,50,-2781,120,71,0.3,2014ApJ...795...44R,1285,100,2014ApJ...795...44R,0.018000000000000002
PS1-11uw,2011,04,24,2014ApJ...795...44R,16,04,56.287,+,54,52,41.3,,83,-2482,47,2,0.3,2014ApJ...795...44R,1285,90,2014ApJ...795...44R,0.027999999999999997
PS1-11w,2011,01,05,2014ApJ...795...44R,10,54,43.784,+,58,37,35.62,,87,-2538,62,63,0.174,2014ApJ...795...44R,747,53,2014ApJ...795...44R,0.023
PS1-11yj,2011,05,24,2014ApJ...795...44R,16,08,30.469,+,53,41,07.17,,44,-2567,17,14,0.107,2014ApJ...795...44R,459,33,2014ApJ...795...44R,0.037000000000000005
PS1-11yu,2011,05,24,2014ApJ...795...44R,16,12,46.179,+,54,52,25.4,,49,-2884,17,13,0.36,2014ApJ...795...44R,1542,116,2014ApJ...795...44R,0.03
PS1-11zu,2011,05,27,2014ApJ...795...44R,16,06,28.184,+,53,52,18.49,,43,-2570,14,11,0.36,2014ApJ...795...44R,1542,108,2014ApJ...795...44R,0.03
PS1-11zv,2011,05,27,2014ApJ...795...44R,16,11,37.152,+,53,58,12.96,,43,-2570,14,11,0.35,2014ApJ...795...44R,1499,105,2014ApJ...795...44R,0.026000000000000002
PS1-11zw,2011,05,27,2014ApJ...795...44R,16,10,25.814,+,54,08,58.48,,44,-2570,14,11,0.423,2014ApJ...795...44R,1812,127,2014ApJ...795...44R,0.032
PSc080064,2010,09,03,2014ApJ...795...44R,03,29,42.071,-,27,52,38.11,,58,-2489,96,78,0.066,2014ApJ...795...44R,281,21,2014ApJ...795...44R,0.024
PSc080646,2010,09,10,2014ApJ...795...44R,22,18,29.334,+,00,56,29.35,,127,-2566,397,397,0.33,2014ApJ...795...44R,1408,108,2014ApJ...795...44R,0.168
PSc080723,2010,09,29,2014ApJ...795...44R,02,19,56.728,-,03,57,38.18,,49,-2166,44,26,0.431,2014ApJ...795...44R,1842,129,2014ApJ...795...44R,0.055999999999999994
PSc090275,2010,10,13,2014ApJ...795...44R,03,36,17.301,-,28,03,05.44,,69,-1766,56,39,0.14,2014ApJ...795...44R,598,42,2014ApJ...795...44R,0.028999999999999998
PSc091748,2010,10,31,2014ApJ...795...44R,03,28,29.494,-,26,49,42.58,,61,-1785,38,21,0.148,2014ApJ...795...44R,632,45,2014ApJ...795...44R,0.028999999999999998
PSc100163,2010,11,10,2014ApJ...795...44R,02,21,46.162,-,05,09,05.76,,93,-2207,2,1,0.319,2014ApJ...795...44R,1363,96,2014ApJ...795...44R,0.063
PSc100206,2010,11,07,2014ApJ...795...44R,03,30,04.362,-,28,15,24.09,,55,-2530,31,13,0.217,2014ApJ...795...44R,928,65,2014ApJ...795...44R,0.022000000000000002
PSc100405,2010,11,24,2014ApJ...795...44R,03,34,30.852,-,27,19,14.09,,63,-2543,14,1,0.103,2014ApJ...795...44R,439,31,2014ApJ...795...44R,0.031
PSc180561,2011,07,28,2014ApJ...795...44R,22,17,50.984,+,01,28,06.39,,2,-674,76,76,0.23,2014ApJ...795...44R,980,81,2014ApJ...795...44R,0.134
PTF09foz,2009,10,09,2007SDSS6.C...0000:,00,42,11.893,-,09,52,54.65,,32,-1095,706,344,0.0544,2003SDSS1.C...0000:,228,17,2003SDSS1.C...0000:,0.08900000000000001
PTF10cko,2010,02,24,2007SDSS6.C...0000:,12,11,15.37,+,13,44,01.5,,3,-2145,26,27,0.06473,2005SDSS4.C...0000:,282,20,2005SDSS4.C...0000:,0.091
