file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
PSc100358-NUV.fits.gz,PSc100358,NUV,352.4444583333333,0.5905055555555556,19,2003-08-25,2009-10-25,2010-11-07,19,0,-2630.0,-378.0,
PSc100382-FUV.fits.gz,PSc100382,FUV,130.5095708333333,42.8708,2,2007-02-17,2008-01-26,2010-11-01,2,0,-1353.0,-1009.0,
PSc100382-NUV.fits.gz,PSc100382,NUV,130.5095708333333,42.8708,3,2006-12-29,2008-01-26,2010-11-01,3,0,-1402.0,-1009.0,
PSc100405-FUV.fits.gz,PSc100405,FUV,53.62855,-27.32058055555555,26,2003-12-07,2008-12-12,2010-11-24,26,0,-2543.0,-711.0,
PSc100405-NUV.fits.gz,PSc100405,NUV,53.62855,-27.32058055555555,63,2003-12-07,2010-12-08,2010-11-24,55,8,-2543.0,15.0,1.0
PSc100417-FUV.fits.gz,PSc100417,FUV,129.1720458333333,44.69766388888888,6,2004-01-16,2008-03-24,2010-11-09,6,0,-2489.0,-960.0,
PSc100417-NUV.fits.gz,PSc100417,NUV,129.1720458333333,44.69766388888888,7,2004-01-16,2010-01-14,2010-11-09,7,0,-2489.0,-298.0,
PSc110014-FUV.fits.gz,PSc110014,FUV,334.615975,-0.1627611111111111,5,2008-08-20,2008-09-23,2010-11-07,5,0,-809.0,-774.0,
PSc110014-NUV.fits.gz,PSc110014,NUV,334.615975,-0.1627611111111111,39,2008-08-20,2011-10-12,2010-11-07,38,1,-809.0,340.0,340.0
PSc110022-FUV.fits.gz,PSc110022,FUV,129.6840083333333,44.65444444444444,7,2004-01-16,2008-03-24,2010-11-30,7,0,-2510.0,-981.0,
PSc110022-NUV.fits.gz,PSc110022,NUV,129.6840083333333,44.65444444444444,8,2004-01-16,2010-01-14,2010-11-30,8,0,-2510.0,-319.0,
PSc110033-FUV.fits.gz,PSc110033,FUV,34.90313333333334,-3.529244444444444,35,2003-11-21,2008-11-21,2010-12-06,35,0,-2571.0,-745.0,
