z,FUV,NUV,F275W
0.088,0.10151078167129483,0.14547647762526975,0.6779690368377753
0.089,0.10088794205558244,0.1461485106073594,0.6490470678433196
0.09,0.10003840397194591,0.14696615677027197,0.6194121181497262
0.091,0.09904817128484185,0.14798629975959093,0.5895374320586908
0.092,0.09799205151401344,0.1492154946432297,0.5599577554152814
0.093,0.09691446044510299,0.15060012901514297,0.5312388014210927
0.094,0.09584140947225221,0.1520538286828563,0.5038380798696788
0.095,0.09480664834512034,0.15348695894090483,0.47805333772031294
0.096,0.09389121767804227,0.15481682046293277,0.4541121513917703
0.097,0.09333581239697404,0.1559763420653972,0.43221651724561055
0.098,0.09392075942670965,0.1569373074187262,0.4124445213227767
0.099,0.09790371502488894,0.15772540724894854,0.39472767933086367
0.1,0.11029307717247437,0.15840257538787852,0.3789585718567362
