name,SDSS,ESSENCE,PanSTARRS,PanSTARRS2,SNLS,rochester,Nspec,OSC,manual,total
SDSS-II SN 13323,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13333,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13378,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13393,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13411,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 1342,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13452,0.998,0,0,0,0,0,0,1,0,0.998
SDSS-II SN 13458,0.999,0,0,0,0,0,0,-1,0,0.999
SDSS-II SN 13465,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13476,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13479,0.986,0,0,0,0,0,0,1,0,0.986
SDSS-II SN 13492,0.883,0,0,0,0,0,0,1,0,0.883
SDSS-II SN 13497,0.84,0,0,0,0,0,0,1,0,0.84
SDSS-II SN 13507,0.991,0,0,0,0,0,0,1,0,0.991
SDSS-II SN 13520,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13529,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13532,0.858,0,0,0,0,0,0,1,0,0.858
SDSS-II SN 13590,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 13615,0.99,0,0,0,0,0,0,1,0,0.99
SDSS-II SN 13646,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13659,0.996,0,0,0,0,0,0,1,0,0.996
SDSS-II SN 13716,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13729,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 13731,0.987,0,0,0,0,0,0,1,0,0.987
SDSS-II SN 13732,0.995,0,0,0,0,0,0,1,0,0.995
SDSS-II SN 13734,0.985,0,0,0,0,0,0,1,0,0.985
SDSS-II SN 13737,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13777,0,0,0,0,0,0,0,-1,-1,-1
SDSS-II SN 1378,0,0,0,0,0,0,0,1,0,-1
SDSS-II SN 13813,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13833,0.998,0,0,0,0,0,0,1,0,0.998
