name,disc_date,galex_ra,galex_dec,osc_host,epochs_total,epochs_pre,epochs_post,delta_t_first,delta_t_last,delta_t_next,ned_objname,ned_ra,ned_dec,posn_ref,ned_type,z,z_err,z_ref,h_dist,h_dist_err,a_v,a_k,sep,offset,offset_verdict,z_indep_dist,z_indep_dist_err,z_indep_ref,pgc,pref_dist,pref_dist_err,pref_dist_ref,P_Ia
PS1-10o,2010-01-18,10h02m08.822s,2d43m06.83s,,100,80,20,2168,394,17,PS1-10o,10h02m08.8219s,+02d43m06.830s,2014ApJ...795...44R,SN,0.22,0.001,2014ApJ...795...44R,947.19,66.58,0.055,0.006,0.001,0.00685665,,,,,,947.19,66.58,2014ApJ...795...44R,3.0
PS1-10s,2010-01-16,9h55m57.231s,2d15m48.47s,,36,16,20,732,738,20,PS1-10s,09h55m57.2309s,+02d15m48.470s,2014ApJ...795...44R,SN,0.10099999999999999,0.001,2014ApJ...795...44R,437.5,31.23,0.06,0.006999999999999999,0.001,0.003147826,,,,,,437.5,31.23,2014ApJ...795...44R,2.0
PS1-11aj,2011-01-06,10h03m16.274s,3d28m29.81s,,35,26,9,1773,41,25,PS1-11aj,10h03m16.2739s,+03d28m29.809s,2014ApJ...795...44R,SN,0.106,0.001,2014ApJ...795...44R,458.95,32.69,0.055999999999999994,0.006,0.0,0.00401127,,,,,,458.95,32.69,2014ApJ...795...44R,1.0
PS1-11at,2011-01-05,10h01m53.027s,2d02m33.53s,,176,160,16,2520,75,27,PS1-11at,10h01m53.0270s,+02d02m33.529s,2014ApJ...795...44R,SN,0.32,0.001,2014ApJ...795...44R,1375.47,96.48,0.048,0.005,0.0,0.0066488730000000005,,,,,,1375.47,96.48,2014ApJ...795...44R,2.0
PS1-11bk,2011-01-11,9h56m19.761s,1d24m34.08s,,38,29,9,2129,36,21,PS1-11bk,09h56m19.7609s,+01d24m34.081s,2014ApJ...795...44R,SN,0.16,0.001,2014ApJ...795...44R,690.2,48.69,0.063,0.006999999999999999,0.001,0.005993214,,,,,,690.2,48.69,2014ApJ...795...44R,2.0
PS1-11fi,2011-02-05,14h12m57.07s,52d44m37.19s,,20,18,2,641,37,36,PS1-11fi,14h12m57.0701s,+52d44m37.190s,2014ApJ...795...44R,SN,0.08199999999999999,0.001,2014ApJ...795...44R,352.92,25.43,0.028999999999999998,0.003,0.0,0.002555661,,,,,,352.92,25.43,2014ApJ...795...44R,3.0
PS1-11kk,2011-02-10,16h10m49.277s,55d15m05.31s,,50,42,8,2781,120,71,PS1-11kk,16h10m49.2770s,+55d15m05.310s,2014ApJ...795...44R,SN,0.3,0.01,2014ApJ...795...44R,1285.09,99.72,0.018000000000000002,0.002,0.0,0.0,,,,,,1285.09,99.72,2014ApJ...795...44R,2.0
PS1-11uw,2011-04-24,16h04m56.287s,54d52m41.3s,,83,71,12,2482,47,2,PS1-11uw,16h04m56.2869s,+54d52m41.300s,2014ApJ...795...44R,SN,0.3,0.001,2014ApJ...795...44R,1285.17,90.16,0.027999999999999997,0.003,0.0,0.009349979,,,,,,1285.17,90.16,2014ApJ...795...44R,2.0
PS1-11w,2011-01-05,10h54m43.784s,58d37m35.62s,,87,85,2,2538,62,63,PS1-11w,10h54m43.7839s,+58d37m35.620s,2014ApJ...795...44R,SN,0.174,0.001,2014ApJ...795...44R,747.38,52.66,0.023,0.003,0.0,0.005422987,,,,,,747.38,52.66,2014ApJ...795...44R,2.0
PS1-11yj,2011-05-24,16h08m30.469s,53d41m07.17s,,44,42,2,2567,17,14,PS1-11yj,16h08m30.4689s,+53d41m07.170s,2014ApJ...795...44R,SN,0.107,0.001,2014ApJ...795...44R,458.59,32.67,0.037000000000000005,0.004,0.0,0.003334825,,,,,,458.59,32.67,2014ApJ...795...44R,2.0
PS1-11yu,2011-05-24,16h12m46.179s,54d52m25.4s,,49,47,2,2884,17,13,PS1-11yu,16h12m46.1789s,+54d52m25.399s,2014ApJ...795...44R,SN,0.36,0.01,2014ApJ...795...44R,1542.04,116.21,0.03,0.003,0.0,0.01348473,,,,,,1542.04,116.21,2014ApJ...795...44R,2.0
